no,word,meaning,example_sentence,source,known,note,created_at,updated_at
1,last,続く、持続する、(天候・体力・食品などが)持ちこたえる,The meeting will last for about two hours.,英検準1級 でる順パス単 CSV,0,,,
2,affect,に影響を及ぼす；を感動させる,The new rule may affect many students.,英検準1級 でる順パス単 CSV,0,,,
3,claim,と主張する；を（自分のものとして）要求する,He claimed that the plan would save money.,英検準1級 でる順パス単 CSV,0,,,
4,ship,を出荷する、を輸送する,The company will ship the products tomorrow.,英検準1級 でる順パス単 CSV,0,,,
5,issue,問題（点）；発行（物）；発表,The team discussed the issue for a long time.,英検準1級 でる順パス単 CSV,0,,,
6,purchase,を購入する,She decided to purchase a new laptop.,英検準1級 でる順パス単 CSV,0,,,
7,occur,起こる；心に浮かぶ；現れる,Serious accidents can occur in bad weather.,英検準1級 でる順パス単 CSV,0,,,
8,deal,を処理する；を商う；を分配する,The manager had to deal with several complaints.,英検準1級 でる順パス単 CSV,0,,,
9,consume,を消費する；を食べる，飲む,Large factories consume a lot of energy.,英検準1級 でる順パス単 CSV,0,,,
10,present,を提示する、を進呈する,The scientist will present her research tomorrow.,英検準1級 でる順パス単 CSV,0,,,
11,fire,を解雇する、を首にする,The company may fire workers if sales continue to fall.,英検準1級 でる順パス単 CSV,0,,,
12,regard,を見なす；を見る；を評価する,Many people regard him as a great leader.,英検準1級 でる順パス単 CSV,0,,,
13,fine,に罰金を科す,Drivers must pay a fine if they park illegally.,英検準1級 でる順パス単 CSV,0,,,
14,transfer,を移す；を伝える；移る；乗り換える,He will transfer to another department next month.,英検準1級 でる順パス単 CSV,0,,,
15,decline,減少する；衰退する；を断る,The number of visitors began to decline.,英検準1級 でる順パス単 CSV,0,,,
16,eliminate,を取り除く,The new system can eliminate many simple errors.,英検準1級 でる順パス単 CSV,0,,,
17,indicate,を指し示す；を述べる,The data indicate a clear change in behavior.,英検準1級 でる順パス単 CSV,0,,,
18,ensure,を確実にする（≒make sure）；を守る,Good planning helps ensure success.,英検準1級 でる順パス単 CSV,0,,,
19,expand,（を）拡大する；（を）詳説する,The company plans to expand its business overseas.,英検準1級 でる順パス単 CSV,0,,,
20,address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）,The speech will address several important issues.,英検準1級 でる順パス単 CSV,0,,,
21,identify,を特定する；を（～と）同一視する（with）,Police tried to identify the suspect.,英検準1級 でる順パス単 CSV,0,,,
22,construct,を建設する（＝build）；を構成する,Workers will construct a new bridge over the river.,英検準1級 でる順パス単 CSV,0,,,
23,invest,（を）投資する；に（～を）与える（with）,The firm decided to invest in renewable energy.,英検準1級 でる順パス単 CSV,0,,,
24,obtain,を得る,Students must obtain permission before leaving early.,英検準1級 でる順パス単 CSV,0,,,
25,struggle,闘い；懸命の努力,Many families struggle to pay high rent.,英検準1級 でる順パス単 CSV,0,,,
26,counter,～と反論する、～に反対する,The government introduced a plan to counter inflation.,英検準1級 でる順パス単 CSV,0,,,
27,associate,を結び付けて考える；（～と）交際する（with）,The situation became more associate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
28,register,を記録する，登録する；（～に）登録する（for）,The report mentioned a important register in detail.,英検準1級 でる順パス単 CSV,0,,,
29,reveal,を明らかにする；を見せる,The situation became more reveal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
30,species,（生物の）種；種類,The article explained the meaning of species clearly.,英検準1級 でる順パス単 CSV,0,,,
31,diet,(日常の)食べ物、療養食,The article explained the meaning of diet clearly.,英検準1級 でる順パス単 CSV,0,,,
32,site,用地，場所；跡地；（ウェブ）サイト,The article explained the meaning of site clearly.,英検準1級 でる順パス単 CSV,0,,,
33,cell,細胞；独房；電池,The article explained the meaning of cell clearly.,英検準1級 でる順パス単 CSV,0,,,
34,facility,施設，設備；機能；才能,The report mentioned a important facility in detail.,英検準1級 でる順パス単 CSV,0,,,
35,practice,実践，実行；（社会の）慣習；練習,The article explained the meaning of practice clearly.,英検準1級 でる順パス単 CSV,0,,,
36,resident,居住者；滞在者,The situation became more resident than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
37,option,選択（の自由）；選択肢,The report mentioned an important option in detail.,英検準1級 でる順パス単 CSV,0,,,
